created_at,Date,Week,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name_1,user_statuses_count,user_time_zone,user_urls,user_verified,month,year
Tue Feb 04 16:54:11 +0000 2020,4-Feb,week 1,Flu pregnancy,NA,NA,125,1.22E+18,NA,NA,NA,en,NA,NA,45,NA,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",True or false: #Flu and whooping cough (Tdap) vaccines can help protect you and your baby from serious diseases when you receive them during #pregnancy.,https://twitter.com/CDCgov/status/1224737930478071808,Fri May 21 19:40:40 +0000 2010,CDCgov,FALSE,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,522,2515380,266,17081,"Atlanta, GA",CDC,CDCgov,26533,NA,http://www.cdc.gov,TRUE,Feb,2020
Tue Feb 04 19:00:25 +0000 2020,4-Feb,week 1,Ebola DRC,https://twitter.com/CDCgov/status/1224769695015952384/photo/1,http://bit.ly/BehaviorScience,47,1.22E+18,NA,NA,NA,en,NA,FALSE,32,NA,NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","“People are real, they’re raw, and sometimes people are pretty confused and frustrated about how this outbreak is happening in their communities,” says CDC #Ebola responder Christine Prue. Find out how behavioral scientists are helping out in #DRC: https://t.co/PH6MrbiCV3 https://t.co/xp3ysLpFw2",https://twitter.com/CDCgov/status/1224769695015952384,Fri May 21 19:40:40 +0000 2010,CDCgov,FALSE,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,522,2515380,266,17081,"Atlanta, GA",CDC,CDCgov,26533,NA,http://www.cdc.gov,TRUE,Feb,2020
Tue Feb 04 20:44:01 +0000 2020,4-Feb,week 1,HCPs,https://twitter.com/CDCgov/status/1224795770685132800/photo/1,https://bit.ly/2GL85CT,64,1.22E+18,NA,NA,NA,en,NA,FALSE,57,NA,NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","#HCPs: CDC’s updated immunization schedules are now available. 

Make sure you and your staff reference them to stay current on vaccine recommendations: https://t.co/cixDFCn1k9 https://t.co/b01Um2HaIQ",https://twitter.com/CDCgov/status/1224795770685132800,Fri May 21 19:40:40 +0000 2010,CDCgov,FALSE,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,522,2515380,266,17081,"Atlanta, GA",CDC,CDCgov,26533,NA,http://www.cdc.gov,TRUE,Feb,2020
Tue Feb 04 21:39:33 +0000 2020,4-Feb,week 1,NA,NA,NA,0,1.22E+18,NA,NA,NA,en,NA,NA,159,1.22E+18,CDCtravel,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @CDCtravel: Travelers, handwashing is one of the best ways to protect yourself &amp; your family from getting sick. 

Remember: 
✔️Wet 
✔️La…",https://twitter.com/CDCgov/status/1224809745044967424,Fri May 21 19:40:40 +0000 2010,CDCgov,FALSE,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,522,2515380,266,17081,"Atlanta, GA",CDC,CDCgov,26533,NA,http://www.cdc.gov,TRUE,Feb,2020
Wed Feb 05 18:06:30 +0000 2020,5-Feb,week 1,2019nCoV coronavirus,https://twitter.com/CDCgov/status/1225118514069082112/photo/1,http://bit.ly/2OpXAL4,138,1.23E+18,NA,NA,NA,en,NA,FALSE,145,NA,NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","Read @CDCMMWR report on the first cases of #2019nCoV (#coronavirus) in the U.S., including a summary of what we know about this outbreak and the public health response. https://t.co/LcsHn9bqdE https://t.co/Rl3ETxOQMt",https://twitter.com/CDCgov/status/1225118514069082112,Fri May 21 19:40:40 +0000 2010,CDCgov,FALSE,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,522,2515380,266,17081,"Atlanta, GA",CDC,CDCgov,26533,NA,http://www.cdc.gov,TRUE,Feb,2020
Wed Feb 05 19:48:26 +0000 2020,5-Feb,week 1,NA,NA,NA,0,1.23E+18,NA,NA,NA,en,NA,NA,110,1.23E+18,CDCDirector,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @CDCDirector: This week, several planes carrying passengers from Wuhan, China will arrive in the US. The passengers have been screened,…",https://twitter.com/CDCgov/status/1225144167136989184,Fri May 21 19:40:40 +0000 2010,CDCgov,FALSE,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,522,2515380,266,17081,"Atlanta, GA",CDC,CDCgov,26533,NA,http://www.cdc.gov,TRUE,Feb,2020
Wed Feb 05 19:49:41 +0000 2020,5-Feb,week 1,NA,NA,NA,0,1.23E+18,NA,NA,NA,en,NA,NA,53,1.23E+18,CDCDirector,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @CDCDirector: Upon arrival, CDC will assess the health of the passengers &amp; medical care will be readily available at the first onset of…",https://twitter.com/CDCgov/status/1225144482594803712,Fri May 21 19:40:40 +0000 2010,CDCgov,FALSE,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,522,2515380,266,17081,"Atlanta, GA",CDC,CDCgov,26533,NA,http://www.cdc.gov,TRUE,Feb,2020
Thu Feb 06 17:04:13 +0000 2020,6-Feb,week 1,2019nCoV,NA,NA,110,1.23E+18,CDCgov,1.23E+18,146569971,en,NA,NA,73,NA,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CDC’s #2019nCoV diagnostic test uses technology that can provide results in 4 hours from initial processing to result. Other steps—like accessioning of patient specimens, reagent preparation, and reporting – may add to overall testing time.",https://twitter.com/CDCgov/status/1225465228558774272,Fri May 21 19:40:40 +0000 2010,CDCgov,FALSE,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,522,2515380,266,17081,"Atlanta, GA",CDC,CDCgov,26533,NA,http://www.cdc.gov,TRUE,Feb,2020
Thu Feb 06 17:28:00 +0000 2020,6-Feb,week 1,antibiotic virus BeAntibioticsAware,https://twitter.com/CDCgov/status/1225471213968875520/video/1,http://bit.ly/2P5PNS5,119,1.23E+18,NA,NA,NA,en,NA,FALSE,96,NA,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","An #antibiotic is the wrong tool to treat a virus, like those that cause a cold or flu. Ask your doctor about the best way to feel better while your body fights off a #virus. https://t.co/NYtdiKtOvz  #BeAntibioticsAware https://t.co/2WNr4bE5RB",https://twitter.com/CDCgov/status/1225471213968875520,Fri May 21 19:40:40 +0000 2010,CDCgov,FALSE,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,522,2515380,266,17081,"Atlanta, GA",CDC,CDCgov,26533,NA,http://www.cdc.gov,TRUE,Feb,2020
Thu Feb 06 21:22:45 +0000 2020,6-Feb,week 1,NA,NA,https://bit.ly/36zivBu,3,1.23E+18,mdsinvestments,1.23E+18,9.18E+17,en,NA,FALSE,6,NA,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@mdsinvestments Currently there is no evidence to support spread of 2019-nCoV from goods imported from China; no such cases have been detected. https://t.co/etmcTbLypV.,https://twitter.com/CDCgov/status/1225530290380136448,Fri May 21 19:40:40 +0000 2010,CDCgov,FALSE,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,522,2515380,266,17081,"Atlanta, GA",CDC,CDCgov,26533,NA,http://www.cdc.gov,TRUE,Feb,2020
Fri Feb 07 18:03:18 +0000 2020,7-Feb,week 1,novelcoronavirus 2019nCoV,https://twitter.com/CDCgov/status/1225842485353746432/photo/1,http://bit.ly/2ugWRFo,153,1.23E+18,NA,NA,NA,en,NA,FALSE,119,NA,NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","In January 2020, CDC, together with public health experts, evaluated more than 600 persons thought to be at risk for 2019 #novelcoronavirus infection. Learn how they identified the first 11 people in the US with lab-confirmed #2019nCoV. Learn more: https://t.co/y8AvyWpgMh https://t.co/kazo6VnQdk",https://twitter.com/CDCgov/status/1225842485353746432,Fri May 21 19:40:40 +0000 2010,CDCgov,FALSE,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,522,2515383,266,17081,"Atlanta, GA",CDC,CDCgov,26533,NA,http://www.cdc.gov,TRUE,Feb,2020
Fri Feb 07 18:52:22 +0000 2020,7-Feb,week 1,NA,NA,NA,0,1.23E+18,NA,NA,NA,en,NA,NA,64,1.23E+18,HHSGov,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @HHSGov: LIVE AT 2 PM ET: HHS hosts a press briefing with members of @POTUS's Coronavirus Task Force. Watch on HHS Twitter. https://t.co…,https://twitter.com/CDCgov/status/1225854836509466624,Fri May 21 19:40:40 +0000 2010,CDCgov,FALSE,CDC's official Twitter source for daily credible health & safety updates from Centers for Disease Control & Prevention. Privacy policy: https://t.co/N3OhkbXTAq,522,2515383,266,17081,"Atlanta, GA",CDC,CDCgov,26533,NA,http://www.cdc.gov,TRUE,Feb,2020
